Feature Name	Importance Mean	Importance Std
CATS2D_00_DA	0.07950762987012987	0.00607547635529867
F03[C-N]	0.02467297077922078	0.003953581339695241
HATS7v	0.01730073051948053	0.0031811337379649535
NNRS	0.013126948051948056	0.0026285017082728086
CATS3D_00_AA	0.01093555194805194	0.002576090686902595
ATS6e	0.008811850649350642	0.0024825088012627576
Eig01_AEA(dm)	0.008590909090909087	0.002601678704146351
mintsC	0.007570373376623372	0.0017803503985115805
VE2_B(p)	0.007259659090909092	0.002075884373673465
SpMAD_G	0.00661120129870131	0.0020647179332769668
L1i	0.006596590909090921	0.0020482984700288132
S3K	0.005342370129870162	0.0014298411472905088
MaxaasN	0.005065909090909133	0.0009351067022598191
SHED_DD	0.0042706168831169134	0.0017150399803541572
Mor17v	0.004221834415584446	0.0017031492252374135
CATS3D_03_LL	0.004063636363636391	0.0019586694961054195
RDF105p	0.0035792207792208104	0.0013920934545508898
Mor26e	0.00334853896103899	0.0014818314045957372
HyWi_Dz(e)	0.003242775974026003	0.0012224133740535055
SM4_B(p)	0.0031830357142857424	0.001086552590358009
Mor19e	0.0031013798701298965	0.0016588699416191658
MATS2v	0.0029185064935065195	0.0012033428116071535
F03[C-C]	0.0029162337662337902	0.0018215465156155713
Eig15_AEA(ed)	0.0028295454545454795	0.0009654669947556847
SM12_AEA(dm)	0.002682061688311712	0.001189144571749418
F09[N-Cl]	0.0026124188311688543	0.0012447598858312161
SM12_AEA(bo)	0.002569886363636386	0.0015587608722353464
RDF020p	0.0025020292207792428	0.001184868598639858
RDF105s	0.002490340909090931	0.0012217627780679984
minssO	0.0023472402597402805	0.000996789190413313
Mor23i	0.002209415584415604	0.0012245242965778402
ATS6v	0.0022061688311688504	0.0010040279289634617
MWC10	0.0021439935064935254	0.0013543296259270559
VE3_B(m)	0.0020058441558441736	0.0011285009056918977
Eta_L_A	0.0019797077922078096	0.001139917621941149
Eig01_EA	0.001970373376623394	0.0008685989414020836
Mor10p	0.0019193993506493676	0.0011046997140605722
Eta_D_beta	0.001907711038961056	0.0013095604017887665
L1s	0.0019068993506493677	0.0009556193401303513
VE3sign_Dz(Z)	0.0018464285714285878	0.0011741415710674662
Eig01_EA(dm)	0.0017308441558441714	0.0010056651912087459
ATS6m	0.0016087662337662479	0.001160537176570437
P_VSA_e_1	0.001580357142857157	0.0009315660859720722
Eig02_AEA(ed)	0.0015210227272727409	0.0011915514719664283
NsCl	0.001403977272727285	0.0010982829471198026
ATSC8i	0.0013023538961039077	0.0009222150093300164
RDF065s	0.0012840097402597517	0.0013886021435400317
SM10_EA(ri)	0.0012317370129870241	0.0010689949702432657
Mor11p	0.0011596590909091014	0.0010738597435657076
VE1sign_B(p)	0.0010677759740259835	0.0010634541114838225
SM4_Dz(p)	0.0010353896103896195	0.0009605550620108563
TDB01m	0.0010271103896103988	0.0006070662627913613
RDF045s	0.0009420454545454629	0.0010919569097214879
Psi_e_0	0.0006546266233766292	0.0006729957138707777
SpAD_Dz(m)	0.0005938311688311742	0.0008219166585432106
